B1,B2,B3,B4,B5,B6,Sector
-80,-80,-80,-67,-73,-77,4
-80,-90,-81,-63,-76,-78,4
-62,-78,-84,-102,-74,-75,4
-62,-67,-85,-98,-82,-77,4
-62,-67,-84,-100,-78,-77,4
-70,-76,-82,-62,-78,-72,4
-73,-67,-84,-86,-80,-74,4
-70,-77,-75,-68,-73,-76,4
-70,-67,-74,-71,-74,-73,4
-69,-80,-74,-62,-73,-73,4
-78,-70,-74,-101,-76,-73,4
-76,-69,-74,-62,-91,-76,4
-80,-79,-84,-100,-83,-76,4
-71,-69,-86,-76,-72,-88,4
-69,-81,-84,-69,-81,-83,4
-77,-71,-84,-65,-82,-74,4
-75,-76,-84,-72,-74,-76,4
-76,-76,-75,-75,-72,-78,4
-74,-66,-72,-86,-82,-74,4
-78,-76,-73,-71,-70,-74,4
-76,-66,-75,-63,-70,-71,4
-68,-77,-73,-74,-69,-73,4
-76,-67,-72,-68,-81,-76,4
-67,-77,-72,-63,-78,-74,4
-66,-71,-76,-63,-71,-79,4
-69,-79,-88,-63,-69,-80,4
-68,-67,-90,-69,-71,-79,4
-70,-77,-91,-82,-73,-83,4
-75,-67,-81,-74,-70,-75,4
-68,-76,-80,-76,-71,-74,4
-68,-68,-86,-65,-74,-72,4
-67,-81,-80,-70,-75,-74,4
-74,-76,-85,-71,-78,-75,4
-75,-88,-85,-69,-70,-78,4
-73,-76,-93,-71,-79,-81,4
-74,-90,-91,-64,-78,-78,4
-72,-89,-85,-72,-76,-76,4
-74,-90,-84,-69,-77,-78,4
-76,-66,-82,-65,-74,-76,4
-62,-76,-85,-67,-75,-80,4
-65,-67,-85,-63,-85,-80,4
-63,-77,-80,-97,-89,-82,4
-63,-67,-78,-61,-79,-78,4
-74,-77,-81,-71,-80,-77,4
-74,-68,-83,-67,-71,-75,4
-67,-77,-83,-67,-73,-80,4
-68,-75,-78,-63,-76,-80,4
-66,-86,-82,-64,-76,-79,4
-72,-81,-84,-69,-71,-80,4
-69,-96,-83,-72,-73,-80,4
-69,-83,-73,-69,-75,-79,4
-73,-87,-73,-66,-85,-76,4
-76,-75,-74,-68,-85,-74,4
-79,-84,-75,-66,-73,-74,4
-83,-75,-74,-100,-77,-80,4
-86,-74,-74,-60,-87,-84,4
-76,-78,-73,-98,-77,-73,4
