B1,B2,B3,B4,B5,B6,Sector
-72,-71,-66,-75,-76,-76,4
-78,-60,-65,-76,-80,-72,4
-75,-71,-65,-72,-64,-71,4
-77,-61,-66,-77,-77,-69,4
-71,-72,-67,-78,-76,-71,4
-71,-65,-68,-82,-70,-72,4
-82,-71,-69,-84,-79,-71,4
-85,-64,-68,-71,-72,-75,4
-82,-83,-71,-70,-70,-80,4
-80,-73,-72,-74,-69,-70,4
-80,-61,-70,-73,-67,-71,4
-76,-69,-78,-73,-77,-76,4
-70,-59,-68,-75,-80,-73,4
-69,-71,-69,-86,-73,-72,4
-78,-61,-65,-86,-68,-68,5
-79,-71,-69,-92,-68,-70,5
-80,-61,-71,-89,-72,-62,5
-72,-72,-73,-81,-70,-99,5
-71,-60,-61,-78,-71,-62,5
-70,-68,-61,-84,-73,-99,5
-76,-58,-61,-82,-71,-99,5
-78,-57,-62,-88,-68,-62,5
-77,-67,-63,-89,-66,-76,5
-77,-58,-64,-77,-74,-74,5
-86,-58,-62,-80,-76,-72,5
-83,-69,-67,-80,-73,-70,5
-80,-59,-71,-78,-66,-72,5
-72,-69,-70,-87,-75,-63,5
-82,-58,-68,-74,-75,-71,5
-80,-69,-69,-77,-72,-65,5
-82,-69,-69,-75,-83,-66,5
-81,-58,-70,-78,-74,-73,5
-80,-76,-71,-83,-74,-71,5
-75,-64,-72,-78,-68,-75,5
-77,-68,-69,-81,-69,-68,5
-77,-62,-68,-84,-67,-71,5
-72,-74,-65,-79,-68,-72,5
-74,-65,-60,-77,-72,-78,5
-75,-73,-60,-77,-69,-83,5
-78,-64,-60,-74,-68,-82,5
-74,-76,-60,-74,-70,-70,5
-74,-60,-60,-74,-69,-72,5
-75,-53,-61,-77,-74,-71,5
-76,-64,-70,-77,-65,-69,5
-82,-57,-70,-79,-101,-67,5
-84,-60,-63,-77,-63,-68,5
-86,-68,-61,-77,-63,-67,5
-84,-62,-57,-78,-63,-67,5
-72,-74,-59,-75,-80,-66,5
-71,-71,-58,-88,-77,-74,5
-71,-62,-60,-88,-66,-73,5
-72,-75,-60,-90,-67,-68,5
-71,-59,-60,-87,-74,-69,5
-72,-59,-64,-83,-73,-74,5
-70,-66,-63,-96,-74,-62,5
-77,-57,-64,-90,-74,-100,5
-72,-68,-68,-77,-67,-63,5
-71,-56,-69,-76,-70,-100,5
-74,-64,-64,-83,-73,-73,5
-74,-55,-66,-83,-76,-80,5
-74,-64,-66,-77,-67,-64,5
-88,-54,-64,-77,-67,-66,5
-87,-77,-72,-80,-68,-66,5
-81,-71,-74,-82,-78,-84,5
-78,-76,-70,-80,-72,-79,5
-75,-66,-74,-76,-74,-74,5
-76,-73,-64,-75,-74,-75,5
-80,-63,-63,-74,-86,-75,5
-81,-73,-74,-84,-89,-64,5
-80,-65,-67,-80,-76,-64,5
-82,-67,-64,-80,-75,-64,5
-78,-58,-61,-83,-76,-74,5
-80,-73,-62,-82,-72,-74,5
-74,-62,-61,-82,-72,-74,5
-77,-73,-60,-76,-73,-63,5
-75,-61,-62,-73,-76,-63,5
-76,-70,-62,-73,-77,-63,5
-76,-60,-65,-82,-75,-78,5
-78,-72,-60,-82,-70,-76,5
-80,-66,-64,-82,-72,-77,5
-84,-70,-64,-74,-72,-81,5
-83,-69,-70,-72,-94,-80,5
-88,-57,-69,-73,-90,-82,5
-86,-68,-71,-79,-76,-78,5
-78,-58,-60,-79,-76,-79,5
-80,-68,-61,-79,-74,-76,5
-85,-77,-63,-82,-72,-77,5
-85,-81,-64,-81,-72,-76,5
-88,-72,-63,-81,-72,-63,5
-86,-76,-62,-78,-71,-63,5
-75,-72,-62,-80,-74,-102,5
-78,-79,-62,-78,-75,-64,5
-74,-65,-60,-80,-75,-63,5
-75,-74,-60,-80,-70,-81,5
-76,-63,-60,-77,-71,-83,5
-76,-69,-60,-76,-71,-64,5
-74,-60,-60,-76,-86,-64,5
-82,-61,-60,-77,-82,-64,5
-84,-71,-67,-79,-82,-82,5
-80,-60,-70,-81,-76,-79,5
-79,-71,-71,-74,-74,-77,5
-74,-65,-69,-75,-76,-74,5
-73,-76,-68,-90,-84,-75,5
-74,-65,-70,-82,-89,-76,5
-74,-74,-65,-82,-71,-64,5
-90,-60,-65,-84,-70,-64,5
-84,-71,-65,-82,-74,-63,5
-87,-61,-69,-88,-86,-76,5
-86,-72,-71,-89,-89,-74,5
-76,-57,-69,-77,-76,-76,5
-75,-72,-76,-80,-75,-65,5
-76,-64,-60,-80,-76,-64,5
-77,-74,-61,-78,-72,-75,5
-77,-74,-61,-87,-72,-64,5
-82,-99,-64,-82,-67,-60,6
-83,-80,-63,-83,-67,-95,6
-80,-74,-55,-90,-67,-60,6
-83,-64,-55,-77,-77,-97,6
-84,-75,-55,-76,-78,-97,6
-83,-66,-55,-80,-87,-67,6
-82,-68,-55,-79,-81,-72,6
-83,-76,-56,-78,-74,-73,6
