B1,B2,B3,B4,B5,B6,Sector
-68,-72,-74,-93,-83,-71,4
-68,-80,-71,-94,-82,-71,4
-86,-72,-70,-59,-84,-81,4
-83,-78,-73,-93,-85,-80,4
-89,-78,-70,-93,-79,-82,4
-88,-92,-70,-59,-85,-71,4
-84,-93,-78,-93,-80,-72,4
-84,-87,-75,-93,-82,-80,4
-83,-94,-79,-67,-84,-81,4
-68,-89,-74,-67,-85,-80,4
-68,-89,-78,-66,-79,-86,4
-69,-80,-74,-62,-77,-85,4
-84,-80,-75,-97,-84,-88,4
-84,-73,-80,-62,-84,-77,4
-82,-78,-82,-96,-84,-74,4
-82,-73,-78,-62,-76,-72,4
-68,-78,-83,-96,-69,-79,4
-68,-73,-84,-58,-92,-87,4
-68,-77,-84,-93,-82,-79,4
-68,-70,-82,-92,-80,-72,4
-86,-77,-83,-58,-93,-72,4
-78,-70,-71,-92,-91,-81,4
-80,-77,-74,-58,-76,-84,4
-79,-70,-71,-92,-73,-78,4
-62,-77,-74,-61,-72,-79,4
-73,-73,-71,-96,-73,-78,4
-76,-81,-74,-97,-73,-77,4
-74,-74,-70,-61,-84,-77,4
-74,-80,-74,-96,-83,-80,4
-80,-73,-83,-96,-74,-76,4
-72,-73,-80,-60,-74,-76,4
-72,-80,-83,-96,-71,-76,4
-75,-70,-84,-95,-80,-75,4
-73,-70,-86,-61,-80,-78,4
-76,-77,-82,-91,-80,-76,4
-67,-70,-85,-91,-80,-76,4
-69,-77,-70,-58,-89,-76,4
-67,-70,-74,-92,-72,-76,4
-69,-77,-71,-92,-77,-83,4
-75,-86,-74,-57,-79,-84,4
-75,-94,-71,-91,-80,-80,4
-75,-84,-70,-70,-78,-80,4
-76,-92,-73,-68,-79,-75,4
-72,-91,-77,-69,-77,-76,4
-73,-74,-81,-90,-79,-89,4
-72,-86,-80,-94,-76,-76,4
-73,-78,-82,-65,-75,-90,4
-73,-84,-81,-60,-81,-86,4
-74,-76,-78,-96,-76,-84,4
-75,-82,-77,-95,-78,-88,4
-77,-81,-76,-60,-76,-85,4
-78,-83,-85,-94,-79,-76,4
-70,-89,-86,-71,-76,-76,4
-68,-83,-87,-70,-76,-76,4
-68,-90,-86,-74,-77,-80,4
-74,-97,-84,-95,-80,-77,4
-79,-80,-84,-60,-80,-80,4
-80,-85,-87,-95,-80,-82,4
-78,-79,-83,-94,-77,-93,4
-78,-88,-84,-60,-75,-82,4
-77,-78,-84,-95,-71,-77,4
-75,-86,-82,-93,-76,-79,4
-79,-78,-89,-58,-81,-80,4
-80,-83,-83,-92,-77,-83,4
-84,-73,-86,-94,-82,-84,4
-83,-73,-81,-68,-78,-86,4
-81,-78,-87,-67,-75,-88,4
-73,-73,-86,-69,-82,-82,4
-65,-83,-73,-60,-76,-83,4
-64,-77,-73,-94,-73,-82,4
-68,-75,-77,-60,-76,-84,4
-65,-76,-76,-94,-80,-95,4
-81,-81,-80,-93,-78,-96,4
-68,-89,-77,-93,-83,-80,4
-68,-82,-77,-70,-77,-78,4
-84,-88,-83,-69,-71,-77,4
-69,-81,-84,-60,-71,-72,4
-69,-88,-81,-60,-72,-72,4
-69,-81,-82,-96,-76,-71,4
-65,-84,-80,-96,-75,-72,4
-66,-80,-83,-68,-73,-73,4
-66,-82,-81,-65,-72,-86,4
-66,-88,-83,-66,-74,-82,4
-75,-82,-91,-98,-75,-82,4
-76,-86,-87,-73,-80,-76,4
-70,-81,-84,-97,-82,-76,4
-67,-89,-84,-63,-74,-83,4
-66,-80,-78,-100,-75,-84,4
-72,-88,-83,-98,-79,-80,4
-73,-80,-78,-63,-77,-80,4
-70,-87,-79,-98,-84,-75,4
-70,-80,-82,-97,-84,-76,4
-69,-79,-83,-63,-78,-89,4
-68,-87,-78,-68,-83,-76,4
-70,-82,-82,-66,-77,-76,4
-69,-90,-79,-68,-71,-79,4
-66,-84,-81,-69,-75,-82,4
-65,-76,-83,-67,-68,-67,5
-66,-69,-83,-100,-67,-67,5
-67,-86,-83,-66,-68,-67,5
-67,-84,-82,-99,-68,-69,5
-68,-85,-84,-64,-102,-67,5
-64,-86,-73,-101,-66,-67,5
-64,-78,-76,-64,-69,-72,5
-66,-72,-73,-100,-72,-71,5
-64,-78,-73,-65,-76,-73,5
-67,-78,-77,-98,-69,-76,5
-68,-71,-74,-65,-69,-80,5
-69,-77,-77,-102,-66,-82,5
-71,-77,-82,-62,-65,-77,5
-69,-85,-84,-97,-65,-68,5
-65,-76,-83,-99,-69,-68,5
-66,-86,-83,-62,-70,-67,5
-66,-94,-83,-96,-66,-77,5
-68,-72,-84,-62,-66,-79,5
-69,-78,-82,-102,-67,-68,5
-70,-73,-76,-65,-100,-68,5
-68,-88,-77,-72,-69,-67,5
-66,-92,-76,-69,-70,-73,5
-66,-72,-80,-100,-72,-73,5
-64,-73,-77,-97,-70,-73,5
-64,-80,-81,-63,-70,-80,5
-68,-73,-77,-62,-70,-84,5
-68,-80,-80,-96,-72,-81,5
-68,-73,-76,-63,-74,-77,5
-69,-79,-77,-68,-83,-76,5
-68,-81,-74,-69,-70,-82,5
-67,-88,-73,-63,-71,-80,5
-68,-80,-76,-100,-71,-67,5
-68,-90,-72,-66,-67,-68,5
-69,-85,-76,-97,-100,-73,5
-71,-80,-78,-99,-66,-72,5
-71,-73,-74,-97,-67,-74,5
-70,-80,-78,-63,-67,-68,5
-67,-79,-75,-96,-77,-69,5
-68,-72,-73,-97,-76,-72,5
-68,-80,-76,-63,-74,-71,5
-67,-76,-77,-97,-68,-73,5
-69,-84,-76,-66,-70,-73,5
-69,-76,-73,-67,-68,-81,5
-69,-80,-86,-68,-70,-68,5
-69,-88,-84,-66,-71,-69,5
-66,-79,-85,-100,-76,-74,5
-67,-86,-82,-66,-70,-73,5
-66,-74,-85,-98,-71,-74,5
-65,-82,-82,-62,-74,-81,5
-70,-78,-85,-97,-68,-75,5
-69,-90,-83,-68,-70,-71,5
-69,-84,-80,-67,-70,-72,5
-69,-76,-76,-69,-70,-72,5
-68,-84,-80,-68,-71,-72,5
-68,-76,-77,-65,-71,-71,5
-69,-88,-81,-96,-69,-72,5
-70,-80,-77,-65,-69,-73,5
-66,-89,-81,-62,-69,-75,5
-72,-88,-76,-100,-75,-74,5
-65,-96,-82,-64,-75,-73,5
-68,-93,-91,-99,-73,-68,5
-64,-98,-87,-63,-64,-69,5
-64,-84,-92,-96,-98,-70,5
-64,-90,-94,-97,-96,-73,5
-73,-82,-90,-97,-64,-72,5
-72,-87,-83,-63,-100,-70,5
-76,-94,-78,-98,-64,-72,5
-68,-71,-81,-99,-68,-70,5
-68,-78,-77,-64,-68,-71,5
-68,-71,-77,-99,-68,-71,5
-68,-72,-78,-68,-66,-74,5
-70,-80,-82,-68,-68,-77,5
-66,-73,-74,-100,-67,-71,5
-66,-80,-77,-64,-68,-71,5
-66,-91,-75,-66,-67,-72,5
-65,-86,-77,-64,-68,-68,5
-69,-96,-77,-98,-68,-69,5
-69,-88,-97,-64,-69,-73,5
-70,-82,-92,-100,-68,-70,5
-70,-90,-100,-64,-66,-71,5
-67,-71,-93,-95,-72,-69,5
-67,-84,-83,-62,-77,-76,5
-66,-75,-76,-64,-80,-77,5
-69,-85,-77,-99,-79,-69,5
-69,-71,-73,-98,-76,-70,5
-70,-78,-75,-64,-82,-72,5
-71,-71,-72,-100,-88,-70,5
-70,-78,-92,-66,-69,-68,5
-70,-71,-90,-98,-69,-70,5
-73,-85,-91,-64,-70,-72,5
-69,-77,-88,-63,-67,-74,5
-70,-84,-88,-62,-69,-83,5
-70,-76,-84,-98,-79,-85,5
-69,-84,-84,-65,-68,-73,5
-69,-77,-78,-64,-69,-81,5
-69,-80,-76,-98,-70,-68,5
-67,-82,-84,-65,-71,-69,5
-66,-86,-85,-68,-74,-74,5
-66,-86,-88,-68,-68,-75,5
-70,-79,-77,-99,-70,-77,5
-80,-92,-83,-74,-74,-76,6
-81,-100,-80,-73,-74,-76,6
-80,-91,-85,-80,-68,-69,6
-71,-88,-81,-66,-68,-70,6
-72,-95,-83,-66,-68,-80,6
-81,-86,-82,-66,-73,-80,6
-81,-96,-82,-72,-72,-80,6
-81,-90,-83,-69,-75,-78,6
-76,-83,-84,-70,-75,-78,6
-73,-83,-86,-70,-76,-76,6
-73,-91,-81,-74,-77,-78,6
-74,-77,-86,-74,-78,-77,6
-74,-84,-76,-65,-78,-78,6
-72,-76,-78,-66,-75,-86,6
-72,-83,-77,-66,-70,-84,6
-72,-76,-81,-99,-71,-78,6
-73,-84,-77,-83,-70,-70,6
-82,-83,-81,-76,-70,-73,6
-80,-91,-77,-77,-71,-73,6
-79,-84,-80,-80,-77,-73,6
-81,-91,-82,-76,-75,-75,6
-71,-84,-83,-69,-77,-82,6
-76,-91,-86,-69,-76,-88,6
-76,-84,-84,-68,-79,-83,6
-76,-90,-87,-72,-77,-86,6
-76,-85,-84,-71,-77,-80,6
-75,-85,-87,-71,-76,-79,6
-71,-92,-87,-69,-76,-81,6
-71,-85,-81,-68,-77,-81,6
-84,-92,-85,-78,-76,-71,6
-83,-87,-82,-80,-74,-72,6
-85,-95,-84,-77,-77,-70,6
-69,-76,-82,-71,-77,-83,6
-70,-84,-84,-71,-74,-82,6
-69,-77,-84,-71,-75,-82,6
-69,-84,-78,-71,-74,-70,6
-82,-78,-77,-76,-77,-70,6
-84,-84,-80,-76,-77,-81,6
-83,-78,-77,-76,-77,-82,6
-82,-85,-80,-71,-77,-84,6
-72,-88,-77,-71,-77,-80,6
-71,-76,-81,-71,-75,-84,6
-72,-86,-77,-68,-75,-71,6
-72,-80,-86,-68,-80,-71,6
-68,-87,-88,-79,-80,-82,6
-69,-88,-89,-80,-79,-77,6
-69,-86,-85,-77,-72,-77,6
-68,-93,-90,-68,-72,-77,6
-72,-88,-86,-68,-71,-81,6
-71,-95,-90,-68,-71,-80,6
-72,-92,-86,-76,-71,-80,6
-72,-89,-89,-76,-78,-72,6
-69,-88,-85,-73,-78,-71,6
-68,-82,-83,-73,-79,-71,6
-68,-90,-78,-73,-72,-77,6
-86,-83,-85,-68,-71,-77,6
-85,-89,-85,-68,-72,-77,6
-86,-83,-85,-68,-77,-71,6
-85,-82,-85,-72,-78,-71,6
-72,-94,-83,-72,-78,-71,6
-72,-88,-83,-72,-72,-78,6
-72,-95,-83,-68,-72,-77,6
-86,-86,-84,-68,-72,-78,6
-85,-95,-83,-68,-72,-80,6
-85,-86,-85,-75,-72,-80,6
-72,-93,-85,-75,-73,-80,6
-71,-82,-82,-74,-72,-71,6
-71,-74,-83,-75,-73,-72,6
-71,-80,-85,-72,-72,-71,6
-71,-74,-82,-72,-72,-71,6
-71,-81,-86,-74,-72,-80,6
-71,-73,-83,-77,-72,-81,6
-71,-96,-86,-75,-78,-81,6
-85,-87,-83,-76,-78,-71,6
-84,-94,-87,-72,-78,-71,6
-85,-97,-84,-72,-72,-71,6
-71,-88,-84,-72,-74,-76,6
-71,-89,-87,-68,-79,-77,6
-71,-95,-84,-68,-78,-80,6
-71,-74,-84,-77,-79,-80,6
-83,-80,-85,-78,-72,-77,6
-85,-74,-87,-68,-73,-77,6
-85,-81,-83,-68,-75,-77,6
-85,-74,-82,-77,-75,-78,6
-72,-81,-86,-78,-76,-78,6
-72,-74,-86,-77,-77,-78,6
-72,-81,-82,-80,-78,-76,6
-72,-86,-84,-76,-78,-69,6
-72,-93,-97,-69,-75,-70,6
-72,-83,-95,-69,-70,-80,6
-71,-92,-92,-68,-71,-80,6
-71,-87,-96,-72,-70,-71,6
-72,-88,-84,-71,-74,-75,6
-71,-86,-87,-71,-74,-71,6
-72,-92,-84,-69,-79,-78,6
-72,-86,-83,-68,-77,-77,6
-72,-95,-85,-78,-72,-78,6
-71,-86,-82,-73,-74,-80,6
-72,-87,-86,-72,-73,-78,6
-72,-93,-85,-78,-73,-78,6
-76,-85,-83,-75,-74,-77,7
-76,-96,-82,-90,-74,-75,7
-74,-100,-80,-92,-76,-71,7
-71,-92,-81,-78,-70,-74,7
-72,-88,-79,-76,-75,-71,7
-71,-86,-93,-77,-74,-76,7
-72,-83,-83,-75,-74,-75,7
-74,-88,-88,-73,-76,-76,7
-74,-78,-79,-78,-78,-76,7
-74,-85,-96,-82,-74,-70,7
-74,-94,-93,-91,-69,-70,7
-79,-89,-82,-80,-72,-69,7
-77,-88,-83,-78,-71,-70,7
-82,-98,-80,-78,-73,-76,7
-96,-91,-82,-77,-73,-76,7
-71,-83,-80,-76,-74,-76,7
-72,-74,-81,-81,-70,-70,7
-72,-80,-79,-90,-72,-70,7
-88,-72,-82,-77,-72,-74,7
-87,-80,-79,-78,-75,-74,7
-92,-73,-82,-74,-74,-73,7
-90,-84,-76,-81,-76,-77,7
-71,-80,-82,-77,-76,-75,7
-71,-85,-82,-77,-76,-76,7
-71,-77,-78,-76,-73,-74,7
-74,-79,-78,-77,-72,-74,7
-75,-86,-73,-77,-66,-74,7
-74,-80,-77,-77,-98,-76,7
-76,-86,-87,-76,-66,-76,7
-93,-78,-94,-71,-68,-77,7
-92,-84,-87,-80,-73,-72,7
-81,-76,-91,-87,-75,-72,7
-76,-88,-89,-75,-70,-72,7
-76,-81,-88,-74,-71,-78,7
-77,-86,-90,-71,-71,-75,7
-81,-78,-74,-84,-73,-75,7
-80,-87,-77,-87,-71,-73,7
-85,-77,-72,-78,-71,-79,7
-72,-82,-76,-78,-70,-78,7
-71,-78,-72,-76,-68,-75,7
-71,-86,-77,-76,-68,-78,7
-72,-76,-72,-81,-89,-79,7
-80,-84,-78,-76,-72,-80,7
-74,-77,-85,-80,-69,-79,7
-72,-78,-89,-76,-73,-80,7
-78,-96,-91,-82,-73,-84,7
-73,-85,-84,-76,-71,-85,7
-82,-92,-84,-72,-69,-77,7
-79,-94,-86,-78,-70,-75,7
-80,-89,-82,-76,-74,-73,7
-76,-96,-80,-76,-71,-75,7
