B1,B2,B3,B4,B5,B6,Sector
-82,-74,-71,-81,-78,-85,4
-76,-77,-71,-80,-82,-83,4
-76,-78,-66,-82,-84,-76,4
-78,-77,-74,-78,-81,-76,4
-80,-79,-69,-78,-86,-72,4
-82,-66,-73,-80,-95,-91,4
-82,-69,-67,-80,-97,-83,4
-80,-65,-73,-84,-87,-83,4
-96,-70,-68,-84,-83,-76,4
-87,-67,-76,-76,-83,-79,4
-91,-76,-61,-83,-71,-80,5
-93,-67,-66,-81,-100,-82,5
-86,-70,-60,-89,-88,-83,5
-85,-70,-60,-89,-87,-72,5
-88,-66,-66,-89,-84,-72,5
-88,-70,-61,-89,-72,-72,5
-93,-66,-67,-88,-72,-81,5
-96,-71,-60,-83,-72,-82,5
-86,-76,-67,-86,-83,-82,5
-86,-76,-72,-87,-82,-74,5
-87,-82,-68,-87,-72,-74,5
-86,-75,-71,-88,-73,-73,5
-80,-82,-75,-82,-72,-76,5
-88,-80,-64,-87,-74,-72,5
-90,-77,-70,-85,-74,-74,5
-85,-71,-60,-89,-71,-70,5
-92,-72,-67,-95,-70,-72,5
-93,-68,-60,-94,-76,-76,5
-86,-71,-66,-90,-74,-74,5
-81,-67,-60,-82,-75,-76,5
-83,-71,-66,-84,-75,-75,5
-82,-67,-60,-84,-85,-77,5
-85,-95,-63,-84,-83,-73,5
-82,-91,-64,-84,-72,-72,5
-80,-95,-71,-85,-72,-73,5
-88,-78,-64,-84,-72,-76,5
-87,-75,-71,-85,-86,-76,5
-90,-74,-66,-85,-75,-72,5
-90,-73,-72,-86,-78,-73,5
-86,-69,-63,-86,-74,-75,5
-86,-72,-69,-80,-70,-81,5
-86,-68,-63,-92,-73,-76,5
-86,-74,-70,-84,-83,-73,5
-85,-73,-64,-82,-81,-78,5
-85,-71,-70,-82,-83,-78,5
-88,-85,-66,-88,-76,-72,5
-85,-63,-72,-87,-75,-73,5
-85,-67,-64,-86,-76,-74,5
-85,-72,-73,-89,-85,-76,5
-85,-76,-64,-89,-89,-79,5
-90,-67,-70,-85,-84,-81,5
-80,-70,-63,-86,-74,-74,5
-87,-66,-71,-92,-74,-73,5
-86,-70,-72,-89,-74,-69,5
-86,-75,-64,-86,-74,-71,5
-84,-67,-67,-89,-74,-69,5
-88,-74,-58,-96,-73,-68,5
-83,-80,-67,-89,-74,-69,5
-86,-75,-67,-85,-80,-102,5
-86,-77,-60,-89,-77,-100,5
-83,-73,-67,-86,-73,-74,5
-81,-77,-61,-91,-73,-76,5
-81,-71,-67,-94,-73,-75,5
-85,-74,-59,-90,-91,-70,5
-89,-72,-66,-91,-85,-70,5
-94,-74,-60,-88,-82,-102,5
-83,-67,-66,-94,-76,-70,5
-82,-72,-60,-94,-76,-70,5
-82,-68,-71,-84,-80,-76,5
-87,-73,-64,-97,-82,-76,5
-86,-68,-71,-86,-82,-70,5
-86,-70,-70,-96,-76,-70,5
-87,-97,-64,-93,-76,-71,5
-88,-89,-71,-93,-76,-69,5
-78,-89,-65,-89,-72,-70,5
-77,-77,-65,-82,-72,-68,5
-77,-76,-59,-83,-72,-80,5
-85,-66,-65,-91,-86,-81,5
-84,-69,-59,-81,-84,-79,5
-86,-66,-65,-81,-83,-72,5
-86,-68,-59,-81,-71,-73,5
-80,-65,-66,-96,-72,-73,5
-79,-71,-60,-93,-71,-73,5
-80,-74,-66,-89,-76,-69,5
-80,-70,-72,-82,-78,-69,5
-82,-68,-63,-83,-80,-69,5
-85,-74,-64,-80,-74,-98,5
-97,-71,-73,-80,-74,-73,5
-92,-75,-61,-81,-71,-69,5
-76,-68,-81,-84,-74,-69,5
-76,-72,-83,-89,-72,-82,5
-77,-70,-64,-88,-75,-80,5
-79,-67,-69,-90,-73,-72,5
-77,-72,-62,-83,-74,-73,5
-79,-68,-69,-82,-73,-73,5
-79,-65,-60,-89,-75,-73,5
-77,-70,-60,-89,-82,-100,5
-76,-67,-67,-88,-82,-69,5
-76,-73,-60,-83,-82,-100,5
-74,-70,-67,-86,-74,-69,5
-74,-70,-60,-87,-74,-77,5
-75,-67,-66,-87,-78,-80,5
-75,-71,-61,-88,-78,-75,5
-76,-68,-62,-82,-78,-72,5
-75,-72,-69,-87,-76,-72,5
-74,-66,-62,-85,-75,-81,5
-73,-70,-61,-81,-78,-82,5
-78,-71,-68,-85,-74,-82,5
-79,-66,-62,-84,-70,-74,5
-78,-70,-66,-82,-73,-74,5
-100,-85,-62,-90,-80,-78,6
-94,-82,-70,-87,-74,-79,6
-83,-84,-62,-91,-82,-72,6
-83,-84,-67,-87,-83,-72,6
-82,-89,-62,-89,-83,-72,6
-82,-94,-63,-88,-72,-76,6
-93,-92,-67,-82,-72,-78,6
-94,-92,-63,-85,-73,-76,6
-90,-85,-68,-88,-77,-75,6
-87,-88,-63,-87,-78,-73,6
-94,-82,-71,-84,-77,-76,6
-82,-84,-64,-83,-76,-76,6
-82,-83,-69,-83,-74,-73,6
-82,-84,-66,-80,-71,-82,6
-82,-80,-71,-82,-71,-70,6
-83,-83,-66,-85,-72,-73,6
-88,-81,-71,-87,-82,-64,6
-88,-87,-71,-83,-82,-96,6
-90,-81,-62,-84,-80,-65,6
-88,-77,-62,-84,-78,-68,6
-85,-72,-68,-82,-86,-101,6
-96,-76,-61,-88,-88,-70,6
-89,-74,-68,-87,-85,-77,6
-83,-71,-62,-98,-81,-73,6
-85,-74,-69,-80,-81,-74,6
-86,-71,-65,-80,-77,-73,6
-94,-82,-71,-86,-78,-73,6
-89,-78,-66,-84,-75,-73,6
-86,-81,-73,-82,-83,-71,6
-86,-77,-69,-82,-86,-70,6
-90,-80,-82,-89,-81,-72,6
-84,-75,-63,-89,-73,-72,6
-88,-81,-68,-87,-75,-100,6
-87,-80,-57,-87,-84,-71,6
-82,-74,-62,-89,-85,-67,6
-94,-71,-58,-85,-85,-97,6
-83,-79,-64,-84,-80,-69,6
-84,-73,-58,-86,-81,-70,6
-83,-80,-64,-89,-79,-67,6
-98,-98,-57,-90,-79,-98,6
-82,-80,-66,-84,-74,-97,6
-81,-75,-64,-85,-80,-68,6
-97,-73,-67,-86,-76,-97,6
-96,-77,-60,-82,-80,-98,6
-86,-74,-69,-84,-80,-66,6
-86,-85,-64,-83,-80,-69,6
-85,-80,-64,-85,-86,-98,6
-82,-84,-58,-84,-79,-69,6
-82,-78,-61,-83,-74,-100,6
-84,-81,-67,-81,-88,-70,6
-84,-84,-71,-80,-88,-70,6
-82,-86,-64,-89,-76,-70,6
-81,-80,-66,-89,-74,-76,6
-91,-82,-60,-85,-75,-76,6
-87,-80,-67,-89,-82,-69,6
-84,-89,-61,-87,-83,-101,6
-88,-80,-68,-86,-81,-69,6
-85,-82,-56,-82,-76,-70,6
-88,-68,-64,-81,-76,-77,6
-83,-70,-69,-84,-77,-72,6
-85,-71,-61,-84,-78,-68,6
-84,-76,-83,-83,-72,-70,6
-87,-72,-86,-85,-84,-69,6
-86,-74,-83,-81,-83,-69,6
-87,-69,-80,-86,-83,-68,6
-88,-74,-73,-84,-72,-96,6
-87,-78,-65,-80,-71,-97,6
-88,-90,-72,-92,-72,-69,6
-88,-80,-63,-85,-81,-80,6
-89,-80,-71,-91,-84,-82,6
-78,-86,-62,-80,-84,-79,6
-90,-82,-70,-81,-73,-69,6
-82,-84,-63,-80,-74,-99,6
-83,-74,-70,-84,-76,-69,6
-89,-69,-63,-82,-76,-74,6
-88,-73,-68,-82,-71,-73,6
-89,-70,-63,-82,-71,-96,6
-82,-72,-63,-84,-73,-94,6
-85,-78,-58,-84,-73,-64,6
-86,-82,-64,-82,-72,-97,6
-88,-78,-57,-82,-71,-68,6
-86,-79,-63,-82,-100,-70,6
-91,-76,-59,-87,-71,-71,6
-91,-82,-66,-86,-72,-100,6
-90,-82,-59,-80,-78,-100,6
-82,-74,-68,-82,-81,-70,6
-92,-84,-66,-84,-73,-67,6
-89,-82,-74,-80,-72,-96,6
-86,-83,-68,-83,-73,-67,6
-86,-80,-75,-88,-80,-97,6
-86,-80,-64,-86,-80,-96,6
-85,-75,-64,-87,-80,-66,6
-91,-78,-67,-90,-73,-102,6
-89,-75,-58,-87,-78,-71,6
-83,-75,-62,-91,-77,-73,6
-93,-73,-60,-87,-83,-71,6
-95,-74,-62,-89,-72,-76,6
-100,-76,-59,-88,-72,-74,6
-88,-87,-58,-82,-73,-99,6
-91,-82,-60,-85,-77,-68,6
-89,-78,-64,-93,-82,-77,7
-90,-74,-71,-84,-88,-68,7
-94,-82,-61,-87,-80,-99,7
-84,-82,-62,-88,-77,-68,7
-82,-78,-56,-92,-78,-98,7
-83,-83,-61,-96,-78,-101,7
-91,-79,-56,-93,-79,-96,7
-92,-82,-61,-87,-84,-73,7
-93,-79,-56,-87,-82,-72,7
-90,-82,-66,-86,-79,-72,7
-95,-76,-60,-85,-79,-72,7
-91,-78,-67,-85,-80,-69,7
-88,-75,-63,-85,-80,-100,7
-91,-74,-71,-85,-80,-69,7
-89,-77,-64,-85,-80,-69,7
-94,-74,-71,-83,-79,-99,7
-92,-78,-65,-91,-80,-100,7
-93,-76,-67,-88,-80,-73,7
-92,-80,-60,-88,-83,-73,7
-88,-77,-65,-84,-80,-68,7
-87,-78,-64,-84,-83,-97,7
-95,-83,-56,-84,-83,-68,7
-90,-79,-63,-88,-80,-70,7
-87,-83,-57,-87,-80,-99,7
-89,-83,-63,-88,-81,-77,7
-97,-81,-57,-86,-80,-77,7
-97,-84,-62,-87,-83,-76,7
-91,-80,-56,-87,-76,-72,7
-89,-82,-56,-90,-81,-73,7
-89,-82,-62,-89,-80,-74,7
-88,-78,-57,-91,-77,-76,7
-96,-82,-57,-92,-76,-75,7
-97,-78,-63,-92,-74,-74,7
-98,-82,-57,-95,-79,-74,7
-89,-78,-57,-89,-82,-96,7
-87,-78,-63,-88,-82,-68,7
-88,-85,-57,-90,-80,-98,7
-90,-82,-63,-94,-80,-68,7
-94,-84,-58,-90,-78,-68,7
-94,-79,-64,-90,-78,-74,7
-90,-83,-58,-87,-80,-74,7
-90,-80,-63,-90,-80,-68,7
-94,-83,-56,-89,-78,-67,7
-93,-80,-63,-89,-82,-99,7
-92,-76,-62,-96,-81,-99,7
-91,-74,-70,-90,-82,-74,7
-92,-77,-67,-88,-80,-74,7
-93,-73,-60,-87,-81,-76,7
-97,-76,-67,-87,-80,-73,7
-90,-73,-61,-88,-80,-72,7
-94,-81,-68,-89,-80,-73,7
-92,-79,-55,-88,-79,-68,7
-91,-82,-62,-88,-80,-68,7
-94,-78,-55,-86,-77,-96,7
-93,-81,-62,-90,-78,-96,7
-92,-77,-55,-90,-78,-72,7
-89,-81,-62,-90,-81,-72,7
-88,-72,-55,-92,-80,-73,7
-93,-73,-62,-93,-81,-73,7
-96,-77,-62,-88,-81,-97,7
-95,-74,-68,-87,-77,-97,7
-93,-78,-62,-91,-77,-67,7
-87,-75,-71,-87,-80,-68,7
-87,-79,-65,-86,-79,-68,7
-87,-75,-67,-84,-79,-76,7
-92,-74,-56,-88,-79,-75,7
-90,-76,-62,-88,-80,-74,7
-91,-78,-56,-85,-80,-74,7
-91,-76,-62,-85,-77,-74,7
-96,-80,-56,-88,-78,-74,7
-88,-89,-62,-91,-81,-73,7
-89,-91,-56,-90,-80,-73,7
-89,-90,-60,-88,-80,-73,7
-87,-89,-60,-94,-80,-67,7
-98,-86,-54,-91,-81,-98,7
-89,-91,-60,-85,-82,-98,7
-88,-75,-54,-86,-83,-67,7
-89,-78,-60,-89,-82,-97,7
-89,-74,-54,-87,-80,-67,7
-88,-78,-68,-88,-79,-97,7
-89,-74,-68,-87,-80,-75,7
-90,-78,-74,-88,-85,-75,7
-102,-74,-66,-82,-86,-75,7
-96,-78,-72,-86,-94,-67,7
-91,-91,-66,-90,-90,-98,7
-90,-86,-60,-88,-87,-67,7
-90,-90,-54,-84,-76,-97,7
-88,-88,-60,-87,-76,-67,7
-95,-90,-54,-88,-82,-74,7
-92,-89,-54,-92,-88,-74,7
-89,-81,-60,-96,-80,-73,7
-90,-77,-60,-93,-77,-73,7
-91,-83,-65,-87,-78,-73,7
-88,-77,-70,-87,-78,-67,7
-88,-76,-65,-86,-79,-98,7
-88,-80,-72,-85,-84,-67,7
