B1,B2,B3,B4,B5,B6,Sector
-68,-71,-68,-66,-69,-67,3
-67,-82,-78,-71,-70,-67,3
-71,-68,-75,-72,-70,-84,3
-73,-84,-71,-68,-70,-93,3
-76,-75,-80,-67,-72,-90,3
-73,-77,-66,-67,-71,-68,3
-80,-80,-72,-72,-71,-69,3
-71,-82,-72,-72,-75,-72,3
-74,-71,-70,-72,-75,-74,3
-70,-74,-69,-81,-74,-70,3
-70,-68,-64,-80,-70,-69,3
-69,-77,-67,-73,-72,-70,3
-70,-70,-75,-75,-73,-73,3
-80,-76,-68,-72,-81,-72,3
-81,-69,-63,-75,-79,-74,3
-80,-75,-60,-74,-70,-69,3
-81,-71,-63,-73,-68,-69,3
-70,-64,-61,-77,-67,-69,3
-70,-71,-64,-74,-78,-73,3
-70,-67,-69,-79,-79,-87,3
-80,-74,-67,-72,-80,-83,3
-91,-67,-82,-74,-69,-90,3
-91,-75,-81,-70,-72,-77,3
-90,-67,-60,-69,-73,-72,3
-83,-68,-83,-95,-79,-86,4
-74,-73,-78,-70,-72,-87,4
-80,-66,-78,-78,-73,-76,4
-86,-70,-68,-74,-71,-71,4
-82,-69,-61,-76,-79,-73,4
-84,-94,-63,-81,-80,-71,4
-76,-66,-80,-81,-77,-74,4
-73,-79,-72,-74,-88,-67,4
-77,-62,-76,-74,-78,-68,4
-74,-70,-71,-76,-72,-82,4
-68,-61,-72,-77,-72,-73,4
-70,-70,-77,-72,-74,-69,4
-77,-60,-66,-82,-69,-66,4
-76,-64,-69,-84,-68,-68,4
-79,-69,-68,-83,-67,-72,4
-78,-60,-69,-83,-78,-70,4
-90,-63,-63,-84,-78,-72,4
-84,-70,-64,-82,-71,-72,4
-91,-66,-63,-78,-82,-80,4
-78,-70,-58,-76,-81,-68,4
-86,-70,-63,-80,-71,-79,4
-86,-73,-60,-76,-77,-79,4
-76,-70,-64,-76,-87,-70,4
-84,-61,-67,-80,-72,-67,4
-90,-70,-64,-79,-68,-77,4
-92,-70,-68,-73,-74,-73,4
-78,-68,-63,-77,-68,-69,4
-74,-69,-66,-80,-75,-67,4
-82,-57,-64,-82,-78,-71,4
-85,-69,-61,-74,-73,-80,4
-83,-63,-66,-76,-83,-82,4
-81,-69,-76,-79,-76,-69,4
-75,-62,-83,-97,-75,-71,4
-77,-73,-77,-82,-70,-67,4
-78,-63,-74,-100,-76,-80,4
-83,-73,-78,-80,-76,-82,4
-84,-70,-67,-78,-78,-77,4
-87,-69,-70,-78,-79,-69,4
-73,-70,-68,-83,-68,-71,4
-84,-67,-72,-81,-69,-70,4
-88,-71,-68,-74,-78,-73,4
-86,-63,-71,-82,-80,-73,4
-82,-63,-67,-75,-81,-76,4
-84,-75,-75,-74,-79,-77,4
-81,-64,-70,-83,-84,-81,4
-81,-72,-66,-81,-84,-70,4
-79,-69,-70,-84,-73,-70,4
-80,-62,-73,-83,-72,-71,4
-79,-77,-71,-80,-75,-76,4
-77,-70,-71,-76,-70,-70,4
-77,-69,-68,-76,-76,-70,4
-95,-64,-76,-73,-74,-81,4
-76,-60,-82,-85,-72,-82,4
-79,-69,-63,-78,-70,-78,4
